,year,author,title,journal,keyword,keyplus,abstract,core_count,cited_count,area
1063,2010,"Mejang, S",DEVELOPING A CAUSAL RELATIONSHIP MODEL OF THE CHARACTERISTICS OF SCIENTIFICALLY TALENED STUDENTS: A MIXED RESEARCH METHODOLOGY,"IMSCI 10: 4TH INTERNATIONAL MULTI-CONFERENCE ON SOCIETY, CYBERNETICS AND INFORMATICS, VOL I",Scientifically talented students; Characteristics; Affecting factors,,"The objective of this research is to develop a causal relationship model of factors affecting the character of scientifically gifted and talented students. The methodology is a mixture of quantitative and qualitative research methods. The research procedure comprises 3 phases : phase 1 - the formulation of an initial hypothetical model of factors affecting the character of scientifically gifted and talented students, based upon related documentary analysis, in-depth interview of experts in science, and multi-case studies; phase 2 - the verification and modification of the initial hypothetical model through the connoisseurship seminar; phase 3 - Test the goodness of fit of the modified model into the empirical data through quantitative research. Data were collected from 1,000 students on the basis of the variables in the model These are the research results derived from phase 1 and 2 of research procedure : The character make-up of scientifically gifted and talented students consists of 7 components, namely, cognitive ability and scientific inquiring mind, scientific creativity, reasoning and deliberating, perseverance, self-confidence, responsibility, self-confidence, scientific problem-solving ability, whereas 5 factors are found to be affecting the character of scientifically gifted and talented students : socio-economic status of parent/guardian, family environment, parent/guardian supports, classroom social climate, and school environment",0,0,Computer Science; Engineering
1064,2015,"Zhao, L; Xu, LS",Study of Relativity on Code-switching of Chinese Teen-age Students in Malaysian Pulang Pinang,"2015 International Conference on Psychology, Information Science & Library Science (PIL 2015)",Pulang Pinang of Malaysia; Chinese teen-age students; Code-switching; Relativity,,"Nowadays code-switching has been a prevalent usage of utterance of Chinese teen-age students in Malaysia. Their code-switching consists in many types of motivations and circumstances, while its specific performance is complex and diverse. And the motivations and circumstances, the specific performance are both relevant to the students' backgrounds and the gift of tongues. The analysis which made to explore specific relativities between them, is based on survey of 412 students. Study of Overseas Chinese in Southeast Asia is being more and more popular, however, it is not familiar to carry the study on language of Chinese of Malaysia through exact quantitative methods and points of view of sociolinguistics. There are three master lingual estates in Malaysia. On top are Malay and English, in between are Chinese and Tamil, and underneath are Chinese dialects and other languages of minority. The lingual estates in Pulang Pinang is mostly the same as it, that on top are Malay and English, following is Chinese, strong dialect is Fukien, and underneath are other Chinese dialects and languages of minority. For whole Malaysia, The speaking practice of Chinese in Pulang Pinang is basically representative, and nowadays code-switching has been a prevalent habit of speech of Chinese teen-age students in Pulang Pinang. One ultimate goal of the paper is to analyze motivations and circumstances, and specific performances of the code-switching. While they are both relevant to the students' backgrounds and the gift of tongues, the other ultimate goal is to explore specific relativities between them. The main methods of the study are by questionnaire and SPSS, and the object of study are locked on community of Chinese teen-age students in Pulang Pinang. The questionnaire is designed by four parts. Part 1 includes personal information of the objects, such as age, gender, habitation, familial standard of living, current Chinese dialect in their habitation, dialect that their parents belong to, degree of education of their parents, and so on. Part 2 reviews particularly the gift of tongues of objects including degree of mastery on kinds of languages and dialects. Part3 reviews motivations and circumstances, and specific performances of the code-switching in practice. At last, Part 4 analyze particular relativity between background and the gift of tongues of the objects, and motivations and circumstances, and specific performances of the code-switching by SPSS.",0,0,Social Sciences - Other Topics
1065,2011,"Jones, ME; Kisthardt, M; Cooper, MA",Interdisciplinary Teaching: Introductory Programming Via Creative Writing,SIGCSE 11: PROCEEDINGS OF THE 42ND ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION,Alice Programming; Collaboration; Creative Writing; Interdisciplinary Teaching; Introductory Programming; National Science Foundation; Pair Programming; Pedagogy,,"Seizing and retaining student interest in programming is a difficult task. Many students find programming to be a dry and tedious task doable only by students gifted with strong analytical skills. Teaching introductory programming via creative writing begins by connecting the planning, organizing, and detailing of writing a story to the programming process. Creative concepts are taught first and then connected to an equivalent programming concept. Group-oriented activities using art, Mad-Libs (TM), Potato Heads (TM), and Legos (TM) allow students to actively make the connections among the creative concepts, analytical concepts, and programming skills. Students work in pairs. Student pairings are assigned by matching a student with analytical tendencies with a student majoring in one of the humanities disciplines. The pairs apply the concepts and skills by creating stories, designing an animation, and implementing the animation using the Alice programming system. This research recognizes the creative nature of programming, invites students who would not consider studying programming to potentially identify an unrecognized talent, and attempts to develop a new approach for teaching introductory programming. This research and teaching is sponsored by a NSF Grant [11].",8,8,Computer Science; Education & Educational Research
1066,2020,"Park, J; Chang, J; Tang, KS; Treagust, DF; Won, M",Sequential patterns of students' drawing in constructing scientific explanations: focusing on the interplay among three levels of pictorial representation,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,Student-generated drawing; scientific explanation; pictorial representation; interplay,SCIENCE; PHYSICS; FRAMEWORK; LANGUAGE; MULTIPLE; SUBMICRO; MACRO,"The purpose of this study is to investigate the process of students' construction of scientific explanations through drawing explanatory diagrams. For this, we observed fifth and sixth graders' drawing processes in a gifted science class involving learning physics concepts in mechanics. The analysis was carried out on three pictorial representational levels: sensory (e.g. observed materials), unseen substance (e.g. molecules) and unseen non-substance (e.g. forces). We found that there were five patterns of interplay depending on the sequential path through the pictorial representational levels. All students began drawing explanatory diagrams from the sensory level as the first step and then constructed explanations using the unseen levels based on the interplay among different levels. In the process of forming meaningful relationships among the three levels of representation, students focused on a specific phenomenon through drawing at a sensory level and extended their making sense of the phenomenon from what happened to why it happened. Based on these findings, we suggest how teachers can use the interplay among the different pictorial representational levels to guide students in generating scientific explanations through drawing.",10,10,Education & Educational Research
1067,2019,"Mun, RU; Hertzog, NB",The Influence of Parental and Self-Expectations on Asian American Women Who Entered College Early,GIFTED CHILD QUARTERLY,college or adult; special population; underserved gifted; qualitative methodologies; social an; or emotional development and adjustment; gifted females,MENTAL-HEALTH; TEACHER EXPECTATIONS; ACADEMIC-ACHIEVEMENT; STUDENTS; MINORITY; EAST; PERCEPTIONS; PERFORMANCE; PROGRAMS; CHOICES,"Asian immigrant parents may hold high expectations for their children to excel academically and professionally. Filial piety and the desire to make their parent(s) proud can motivate these children to achieve but can also place undue pressure on them. In this qualitative study, researchers explored how seven Asian American women who entered college 2 to 4 years earlier than same-aged peers perceived their parents' expectations and the influence of these expectations on their academic and career decision making. In-depth interviews revealed that the majority of women experienced high expectations from their parents for academics and careers. Several also reported experiencing parental pressures, social isolation, eating disorders, and depression during their college years. Implications for well-being are discussed.",8,8,Education & Educational Research; Psychology
1068,2016,"Burger-Veltmeijer, AEJ; Minnaert, AEMG; Van den Bosch, EJ",Intellectually gifted students with possible characteristics of ASD: a multiple case study of psycho-educational assessment practices,EUROPEAN JOURNAL OF SPECIAL NEEDS EDUCATION,Needs-based assessment; intellectual giftedness; ASD; twice exceptionality; dimensional assessment,AUTISM SPECTRUM DISORDER; CHILDREN; ABILITY,"The Strengths and Weaknesses Heuristic (S&W Heuristic) was constructed in order to reduce biased assessments of students with (suspicion of) Intellectual Giftedness in co-occurrence with Autism Spectrum Disorder (IG + ASD) and to establish a well-founded interconnection between assessment data and intervention indications. The current study is the second in the validation process of the S&W Heuristic. An in-depth analysis of three assessment dossiers of Dutch IG-students with possible characteristics of ASD is focused upon. The core question is whether the S&W Heuristic is of added value to diminish bias in any direction and increase systematicity. The results indicate that bias, mainly directed at Strengths, as well as unsystematicity were present in different stages of two assessment dossiers. The conclusion is that the S&W Heuristic seems to pave the way for systematicity and less bias in assessment processes of students with (suspicion of) IG + ASD.",2,2,Education & Educational Research
1069,2000,"Barry, D; Cyran, E; Anderson, RJ",Common issues in medical professionalism: Room to grow,AMERICAN JOURNAL OF MEDICINE,,INFORMAL CURRICULUM; PHYSICIANS; EDUCATION; TAUGHT; ETHICS; GIFTS; CARE,"PURPOSE: Much of the respect and trust that society grants to physicians is based an the expectation of upholding professional values. We performed this study to assess responses to common challenges to medical professionalism and to ascertain physician satisfaction with training in professionalism. METHODS: A self-administered questionnaire containing six challenges to professionalism (acceptance of gifts, conflict of interest, confidentiality, physician impairment, sexual harassment, and honesty) with multiple-choice responses was mailed to 528 medical students and 779 house officers at the University of Colorado Health Sciences Center and to 900 randomly selected Colorado physicians. Information about previous exposure to the issue depicted in the scenarios and satisfaction with, and site of, previous education in medical professionalism was obtained. An independent panel selected the best or acceptable answers to the challenges. RESULTS: In all, 961 evaluable responses were received. More than 40% of physicians reported experience with four of the six challenges. The frequency of the best or acceptable answers to the six scenarios ranged from 12% to 86%. Best or acceptable responses were more common in physicians than in house officers, and in house officers than in medical students (P <0.001). practice setting and specialty type had only modest effects. The physician impairment scenario was the most challenging: Only 12% of physicians provided the best answer. Most (73%) respondents reported having 10 or fewer hours of formal course work in professionalism, and many (40%) were dissatisfied with their training in professionalism. CONCLUSIONS: While everyday challenges to professionalism are commonly encountered by trainees and practicing physicians, many practitioners are dissatisfied with their training in this area and were unable to provide an acceptable answer to these challenges. (C) 2000 by Excerpta Medica, Inc.",48,48,General & Internal Medicine
1070,1993,"BAJCIK, V; HALASOVA, D; BRONIS, M",GIFTED AND TALENTED STUDENTS - ON THE EDUCATIONAL AND PSYCHOLOGICAL APPROACHES TO THE IDENTIFICATION PROCESS,STUDIA PSYCHOLOGICA,GIFTEDNESS; TALENT; IDENTIFICATION PROCESS; CREATIVITY; UNIVERSITY STUDENTS; Q-SORTING,,"Two groups of students - high and low achievers according to study results from four faculties of Slovak Technical University are compared in personal characteristics, mental abilities and creativity level. Results show that, while at two faculties, the educational and psychological approaches are nearly identical in their results, at the two other faculties the results are significantly different. Therefore, the combination of both approaches is recommended here. Characteristics of superior students at each faculty are mentioned, as well as the characteristics of the most creative ones.",0,0,Psychology
1071,2004,"Staiger, A",Whiteness as giftedness: Racial formation at an urban high school,SOCIAL PROBLEMS,,MAGNET SCHOOLS; CONSTRUCTION,"By examining a gifted magnet of an urban California high school as a racial project, this study contributes to our understanding of racial formation. The study analyzes the organizational and representational practices of this voluntary desegregation tool-a partial-site magnet program for gifted students-and its impact on students inside and outside the program. in doing so, the study reveals how, in contrast to its stated mission, this form of voluntary desegregation actually constitutes a form of resegregation. Based on ethnographic fieldwork, this research reveals a series of practices that have produced exclusionary access to the gifted program, limited the interaction between magnet and non-magnet students, and instituted an apparently color-blind discourse of the gifted as in need of protection, all contributing to a widespread though complex and contradictory notion of whiteness as giftedness. Such notions run counter to the original intent of the desegregation ruling in Brown v. Board of Education. Revealing the processes by which a desegregation instrument facilitates such contradictory outcomes provides critical insights into the dynamic nature of racial formation.",49,49,Sociology
1072,2003,"Etkina, E; Matilsky, T; Lawrence, M",Pushing to the edge: Rutgers Astrophysics Institute motivates talented high school students,JOURNAL OF RESEARCH IN SCIENCE TEACHING,,SCIENCE; VIEWS; CONCEPTIONS; CLASSROOMS; COGNITION; EVERYDAY; INQUIRY; PROGRAM; PHYSICS; MODELS,"The Rutgers Astrophysics Institute is a program in which gifted high school students learn about contemporary science and its methods, and conduct independent authentic research using real-time data. The students use the processes of science to acquire knowledge, and serve as cognitive apprentices to an expert astrophysicist. A variety of naturalistic and statistical methods were employed to gather data concerning various changes in the students as a result of their participation in the institute. Specifically, we concluded that students were able to (a) distinguish between observational data and models, devise testing experiments, and reflect on the analysis and the interpretation of X-ray data; (b) achieve results comparable to those of regular Advanced Placement (AP) students on individual AP exam problems (the students had not taken AP Physics), (c) engage in elements of meaningful authentic research, and (d) change their approaches toward learning science. (C) 2003 Wiley Periodicals, Inc.",23,24,Education & Educational Research
1073,2008,"Neonaki, M; Branford-White, C",Enhancing the Bioscience STEM Agenda Through Blended E-learning,"IMSCI '08: 2ND INTERNATIONAL MULTI-CONFERENCE ON SOCIETY, CYBERNETICS AND INFORMATICS, VOL 1, PROCEEDINGS",STEM; Biosciences; education; blended learning; e-learning,,"London Metropolitan University is one of Britain's largest universities and is committed to investing in new facilities, the latest addition being a first-class teaching and research science centre featuring a superlab with 280 workstations sharing both conventional and digital technology. Instruction of Bioscience provision that addresses the Science Technology Engineering and Mathematics agenda has been traditionally divided into three parts: lectures, tutorials and practical classes. To maximize use of the new state of the art facilities, additional e-learning material was developed to complement the live sessions. The e-learning strategy adopted comprised learning through reflection (access to virtual lecture notes), learning by doing (forensic science application), and learning through conversation (e-forum). The effectiveness and impact of implementing this strategy is being evaluated via a three step, three phase process that involves a front-end, followed by a formative and concluded by a summative evaluation. Phase I involved implementation of the blending model to Bioscience master classes for sixty Year 10 (ages 14-15) Gifted and talented students from ten different London urban schools and feedback has been both invaluable and positive. Blended e-learning facilitates interest in the Biosciences, enhances performance and increases student engagement and eventual Success in the learning process.",0,0,Computer Science; Education & Educational Research; Engineering; Information Science & Library Science
1074,2021,"Kim, KH",Creativity Crisis Update: America Follows Asia in Pursuing High Test Scores Over Learning,ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,creative Climates; Attitudes; and Thinking skills (CATs); innovation; No Child Left Behind (NCLB); Programme for International Student Assessment (PISA); standardized tests; Torrance Tests of Creative Thinking (TTCT),TORRANCE TESTS; INNOVATIVE BEHAVIOR; SELF-EFFICACY; EDUCATION; THINKING; CONFUCIANISM; ACHIEVEMENT; PERSONALITY; STUDENTS; SCHOOL,"Asian culture has been test-centric for over 1,400 years. U.S. education has been since the 1990s. Based on Kim's creative Climates, Attitudes, and Thinking skills (CATs), creativity indicators were developed using the 2015 PISA questionnaires. Study I examined (a) relationships between students' PISA science scores and CATs; (b) differences between Asian and U.S. students in PISA scores and CATs; and (c) relationships between teachers' years of teaching and nurturing CATs. Study I found (a) negative relationships between students' PISA scores and CATs, (b) Asian students demonstrating higher PISA scores but lower CATs than U.S. students, and (c) U.S. teachers decreasingly nurture CATs. Study II examined how U.S. CATs changed from 1990 through 2017 by analyzing TTCT norming data (N = 273,441) and found continued declines in CATs, especially in imagination and in young children.",2,2,Education & Educational Research
1075,2015,"Katsari, V; Domeyer, PJ; Sarafis, P; Souliotis, K","Giving Your Last Gift: A Study of the Knowledge, Attitude and Information of Greek Students Regarding Organ Donation",ANNALS OF TRANSPLANTATION,"Brain Death; Health Knowledge, Attitudes, Practice; Students; Tissue and Organ Procurement",MEDICAL-STUDENTS; PRESUMED CONSENT; NURSING-STUDENTS; TRANSPLANTATION; HEALTH; NURSES; UNIVERSITY; AWARENESS; EDUCATION,"Background: Organ donation rates in Greece are the lowest in the European Union. Studying and improving young students' awareness may increase organ donation rates. This study aimed to investigate young students' knowledge, attitude and information regarding organ donation and whether they are modified by putative predictors. Material/Methods: A 62-item electronic questionnaire was sent to 1451 eligible students aged 18-30 years in 16 Greek public technical schools. Two composite scales (knowledge and attitude) were created. The multivariate statistical analysis included ordinal logistic and linear regression, as appropriate. Results: Only 37.9% of the students knew the correct definition of organ donation, 40.3% knew which organs can be donated, 27.4% were informed about the new Greek legislation, and 83.1% acknowledged the need for better information. Although 60.5% would donate an organ after death, only 16.1% would become living donors. Although 83.1% of the students declared knowing what brain death means, 18.6% believe that a brain-dead person could fully recover and 32.3% are unsure about it. Being a health professional or a blood donor, the parent's educational level, the wish to donate all organs after death, the information from announcements or posters, the fear of organ removal after death without prior consent, the consent for autopsy, the wish for better information, and the misbelief that a brain-dead person could fully recover emerged as important predictors of the knowledge and attitude, regarding organ donation. Conclusions: An important lack of knowledge and misperceptions were noted regarding organ donation. Significant predictors were identified.",10,10,Surgery; Transplantation
1076,2020,"Rubinstein, PF; Middleton, B; Goodman, KW; Lehmann, CU",Commercial Interests in Continuing Medical Education: Where Do Electronic Health Record Vendors Fit?,ACADEMIC MEDICINE,,PHARMACEUTICAL-INDUSTRY; UNINTENDED CONSEQUENCES; INFORMATION-TECHNOLOGY; IMPACT; CARE; PHYSICIANS; DOCTORS; BIAS; GIFT,"The Accreditation Council for Continuing Medical Education (ACCME) will not accredit an organization that it defines as a commercial interest, that is an entity that produces, markets, resells, or distributes health care goods or services consumed by, or used on, patients. Thus, commercial interests are not eligible to be accredited organizations offering continuing medical education (CME) credit to physicians. This decision is based on the concern that commercial interests may use CME events to market their products or services to physicians, who then might inappropriately prescribe or administer those products or services to patients. Studies have shown that CME events supported by pharmaceutical companies, for example, have influenced physicians' prescribing behaviors. Currently, however, the ACCME does not recognize electronic health record (EHR) vendors, which are part of a multi-billion-dollar business, as commercial interests, and it accredits them to provide or directly influence CME events. Like pharmaceutical company-sponsored CME events, EHR vendor activities, which inherently only focus on use of the sponsoring vendor's EHR system despite its potential intrinsic limitations, can lead to physician reciprocity. Such events also may inappropriately influence EHR system purchases, upgrades, and implementation decisions. These actions can negatively influence patient safety and care. Thus, the authors of this Perspective call on the ACCME to recognize EHR vendors as commercial interests and remove them from the list of accredited CME providers.",1,1,Education & Educational Research; Health Care Sciences & Services
1077,2020,"Azbel, AA; Ilyushin, LS; Kazakova, EI",Using computer data processing in schoolchildren's cross-cultural collaborative research,2020 IEEE FRONTIERS IN EDUCATION CONFERENCE (FIE 2020),cross-cultural approach; school research; digital data collection tools,SCIENCE-EDUCATION; STUDENTS,This Research to Practice Full Paper aims to illustrate how the introducing of basic computer-based data processing instruments to gifted senior school students may engage them in cross-cultural humanitarian research practice intensively. The authors of the article suggest using a cross-cultural approach to humanitarian research to develop the research competence and computer skills of adolescents. The article contains a detailed description of the case on the use of computer technology for the development of students' research efficiency. Analysis of the project results allows the authors to identify specific deficiencies in the existent Russian school IT-practice and propose a multi-purpose method for their compensation.,0,0,Education & Educational Research; Engineering
1078,2022,"Khawar, A; Frederiks, F; Nasori, M; Mak, M; Visser, M; van Etten-Jamaludin, F; Diemers, A; Van Dijk, N",What are the characteristics of excellent physicians and residents in the clinical workplace? A systematic review,BMJ OPEN,education & training (see medical education & training); medical education & training; human resource management,ATTRIBUTES; OPINIONS,"Objectives In order to recognise and facilitate the development of excellent medical doctors (physicians and residents), it is important to first identify the characteristics of excellence. Failure to recognising excellence causes loss of talent, loss of role models and it lowers work ethos. This causes less than excellent patient care and lack of commitment to improve the healthcare system. Design Systematic review performed according to the Association for Medical Education in Europe guideline. Information sources We searched Medline, Embase, Psycinfo, ERIC and CINAHL until 14 March 2022. Eligibility criteria We included original studies describing characteristics of excellent medical doctors, using a broad approach as to what is considered excellence. Assuming that excellence will be viewed differently depending on the interplay, and that different perspectives (peers, supervisors and patients) will add to a complete picture of the excellent medical doctor, we did not limit this review to a specific perspective. Data extraction and synthesis Data extraction and quality assessment were performed independently by two researchers. We used the Quality Assessment Tool for Different Designs for quality assessment. Results Eleven articles were eligible and described the characteristics from different perspectives: (1) physicians on physicians, (2) physicians on residents, (3) patients on physicians and (4) mixed group (diverse sample of participants on physicians). The included studies showed a wide range of characteristics, which could be grouped into competencies (communication, professionalism and knowledge), motivation (directed to learning and to patient care) and personality (flexibility, empathy). Conclusions In order to define excellence of medical doctors three clusters seem important: competence, motivation and personality. This is in line with Renzulli's model of gifted behaviour. Our work adds to this model by specifying the content of these clusters, and as such provides a basis for definition and recognition of medical excellence.",0,0,General & Internal Medicine
1079,2023,"Keet, K; Pillay, P; Billings, BK; Satyapal, KS; Kramer, B",Profiting from public dissection: A new era of unethical practices,ANATOMICAL SCIENCES EDUCATION,anatomical gifting; body donation programs; body donor; dissection; ethics; gross anatomy education; public dissection; social mores,GOVERNING BODY DONATION; CADAVERIC DISSECTION; CHALLENGE; PLASTINATION; PERSPECTIVES; EDUCATION; MONDINO; SCIENCE; EUROPE; LEGAL,"Historically, adverse events have reflected poorly on both the practice of dissection and the perception of the discipline of anatomy. The recent public dissection of a body donor is a regression to an unethical historical practice and was strongly denounced by anatomists around the world. The individual whose donated body was sourced from a 'for-profit  company in the United States had not given consent for a public dissection. This violates the ethics surrounding consent and body donation and potentially places the future of body donor programs in jeopardy as it compromises community frameworks around epistemic trust. Recent guiding frameworks by international anatomical associations on the ethical use of bodies have cemented the way in which body donor programs should operate. This viewpoint reflects on past and current events pertaining to public dissections and questions how these indignities may influence the public's interaction with human bodies. The authors argue that public dissection should be prohibited as it is against social mores. Social pressure should be applied to individuals or companies who wish to profit from unethical anatomical practice and legislation prohibiting public dissection should be introduced in those countries where it does not yet exist.",0,0,Education & Educational Research
1080,2004,"Liu, M",Examining the performance and attitudes of sixth graders during their use of a problem-based hypermedia learning environment,COMPUTERS IN HUMAN BEHAVIOR,problem-based learning; hypermedia technology; cognitive tools; problem solving; performance; and attitudes,COMPUTER EXPERIENCE; GENDER; ANXIETY,"The purpose of this study was to examine the impact of a problem-based hypermedia learning environment on sixth graders' performance and attitudes. We were interested in finding the ways hypermedia technology could be used as cognitive tools to share the responsibilities of teachers to provide necessary scaffolding to support students' learning in a problem-based learning (PBL) environment. Of particular interest to this study was to understand if non-gifted students could succeed in a PBL environment where scaffolding was provided through technology in addition to that from a teacher. Since this environment was multimedia rich and game like, we also wanted to find out if girls would perform as well as boys. Both quantitative and qualitative data were used. The findings have shown that the enriched presentation of the knowledge base and the more effective delivery of cognitive tools through hypermedia, technology have provided needed scaffolding to all students in the 6th grade classrooms. As a result, not only students in gifted education but also students in regular education performed well in this technology enhanced PBL environment. In addition, students, who speak English as a second language or have some learning disability, also benefited from using it. The amount of gain in students' science knowledge and problem-solving skills was related to their prior knowledge level. This study has also indicated that due to a large amount of reading involved, slow readers found this PBL environment challenging. More support, via technology or teachers, is needed for these students. To our encouragement, and contrary to the recent computer attitude and gender research, no gender difference was found in the performance, nor in the attitudes among the students in this study. Girls performed equally well and had positive attitudes toward the PBL environment and learning science as a result of using it. (C) 2003 Elsevier Ltd. All rights reserved.",37,38,Psychology
1081,2006,"Semin, S; Guldal, D; Ozcakar, N; Mevsim, V",What patients think about promotional activities of pharmaceutical companies in Turkey,PHARMACY WORLD & SCIENCE,patient involvement; patient opinion; pharmaceutical industry; pharmaceutical promotion; Turkey,DRUG COMPANIES; PHYSICIANS; INDUSTRY; GIFTS,"Objective Drugs, as commercial products, are subject to diverse marketing methods including promotional activities. Although the legal/ethical aspects of promotional activities have been discussed in a limited manner, the patient has remained the neglected variable of this equation. The goal of our study, therefore, is to investigate the patients' opinion on the promotional activities of pharmaceutical companies. Method A descriptive study was conducted at 44 primary health care centers in Turkey and 584 volunteers who applied to these centers were included. A questionnaire consisting of 42 questions was developed with demographic information in the first section, and drug ads and promotions included in the second section. Chi-square test and logistic regression analysis were used for statistical analysis. Main outcome mesaures The awareness and ethical evaluation of patients of the promotional activities. Results Nearly 83% of the participants were aware of the promotion issue. Eighty percent found it unethical, 82% suggested that promotional activities should be forbidden, restricted or regulated. 1/3 of the participants believed that physicians made their drug choices based on the gifts and ads of pharmaceutical companies. Half of them had low confidence in the prescriptions of physicians who accepted gifts from the pharmaceutical companies. 54.5% of patients also considered promotional activities as a factor which increased drug prices. Conclusions In our study, a considerable number of patients were aware of promotions and the effects of promotion on prescriptions. The findings of our study may contribute to the development of effective regulations on this issue. Very strict measures controlling drug companies' promotion activities must be formulated. Further, these regulations must incorporate and take into consideration the patients' opinion. Today, the basic need for the proper use of drugs does not rest in pharmaceutical promotion, but in providing adequate health services and effective education for both people and physicians.",6,6,Pharmacology & Pharmacy
1082,2015,"Papadatou-Pastou, M; Tomprou, DM","Intelligence and handedness: Meta-analyses of studies on intellectually disabled, typically developing, and gifted individuals",NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,IQ; Language laterality; Behavioral laterality; Intellectual disability; Intellectual giftedness; Hand preference,PATHOLOGICAL LEFT-HANDEDNESS; RIGHT-SHIFT THEORY; GENETIC BALANCED POLYMORPHISM; CORPUS-CALLOSUM SIZE; HAND PREFERENCE; HEMISPHERIC-SPECIALIZATION; SEX-DIFFERENCES; LANGUAGE LATERALIZATION; CEREBRAL LATERALIZATION; HETEROZYGOTE ADVANTAGE,"Understanding the relationship between cerebral laterality and intelligence is important in elucidating the neurological underpinnings of individual differences in cognitive abilities. A widely used, behavioral indicator for cerebral laterality, mainly of language, is handedness. A number of studies have compared cognitive abilities between groups of left- and right-handers, while others have investigated the handedness prevalence between groups of different cognitive abilities. The present study comprises five meta-analyses of studies that have assessed the handedness prevalence in (a) individuals with intellectual disability (ID) of unknown/idiopathic nature compared to typically developing (TD) individuals, and (b) individuals with intellectual giftedness (IG) compared to TD individuals. Nineteen data sets totaling 16,076 participants (5795 ID, 8312 TD, and 1969 IG) were included in the analyses. Elevated levels of atypical handedness were found to be robust only for the ID to TD comparison. Findings constrain the range of acceptable theories on the handedness distribution for different intelligence levels. (C) 2015 Elsevier Ltd. All rights reserved.",45,45,Behavioral Sciences; Neurosciences & Neurology
1083,2023,"Saglam, MH; Goktenturk, T; Demir, I; Yazici, E",Environmental Factors for the Advancement of Teachers' Self-Efficacy in Professional Development,JOURNAL OF INTELLIGENCE,teacher professional development; ecologically intelligent school; self-efficacy; structural equation modeling,IMPLICIT THEORIES; EDUCATION; MODEL; ACHIEVEMENT; RELIABILITY; DIMENSIONS; ATTITUDES; SCHOOLS; SEM,"There is a shifting paradigm in gifted education from person-based approaches (i.e., identifying giftedness) to process-based approaches (i.e., transacting giftedness). This new framework is centered on enriching educational opportunities that will make the process meaningful (i.e., gifted) to everyone in a setting. However, little is known about how this renewed perspective can be applied in teacher professional development. In line with the socio-ecological models, our study aims to identify the best appropriate model to describe teacher self-efficacy (i.e., the dependent variable in the study) as professional development from an ecological perspective and to propose an ecologically intelligent school (EIS) for the advancement of self-efficacy. Structural equation modeling (SEM) was performed to create a model using TALIS 2018 dataset. Afterward, indices of goodness-of-fit criteria were examined for each model. The results indicate that there is a complex ecological background, in that various factors affect the dependent variable. Model 3 was determined as the most suitable model that can be proposed as an ecologically intelligent school (EIS) for the advancement of self-efficacy. The factors within the three layers of the socio-ecological model-communication with teachers, communication with students, school climate, and feeling valued by the national level-altogether created an appropriate model explaining teacher professional development, regarding self-efficacy.",0,0,Psychology
1084,2023,"Swiatek, L; Wasilewska, I; Boguszewska, A; Grzegorczyk, A; Rezmer, J; Rajtar, B; Polz-Dacewicz, M; Sieniawska, E",Herb Robert's Gift against Human Diseases: Anticancer and Antimicrobial Activity of Geranium robertianum L.,PHARMACEUTICS,Geranium robertianum; antiherpesviral; antimicrobial; anticancer,VIRUS ACTIVITY; EXTRACTS; KAEMPFEROL; PLANTS,"Geranium robertianum L. is a widely distributed plant used as a traditional herbal medicine, but the knowledge of its biological properties still needs to be improved. Thus, the purpose of this presented research was to assess the phytochemical profile of extracts from aerial parts of G. robertianum, commercially available in Poland and to study their anticancer potential and antimicrobial properties, including the antiviral, antibacterial, and antifungal effects. Additionally, the bioactivity of fractions obtained from the hexane and ethyl acetate extract was analyzed. The phytochemical analysis revealed the presence of organic and phenolic acids, hydrolysable tannins (gallo- and ellagitannins), and flavonoids. Significant anticancer activity was found for G. robertianum hexane extract (GrH) and ethyl acetate extract (GrEA) with an SI (selectivity index) between 2.02 and 4.39. GrH and GrEA inhibited the development of HHV-1-induced cytopathic effect (CPE) in virus-infected cells and decreased the viral load by 0.52 log and 1.42 log, respectively. Among the analyzed fractions, only those obtained from GrEA showed the ability to decrease the CPE and reduce the viral load. The extracts and fractions from G. robertianum showed a versatile effect on the panel of bacteria and fungi. The highest activity was observed for fraction GrEA4 against Gram-positive bacteria, including Micrococcus luteus ATCC 10240 (MIC 8 mu g/mL), Staphylococcus epidermidis ATCC 12228 (MIC 16 mu g/mL), Staphylococcus aureus ATCC 43300 (MIC 125 mu g/mL), Enterococcus faecalis ATCC 29212 (MIC 125 mu g/mL), and Bacillus subtilis ATCC 6633 (MIC 125 mu g/mL). The observed antibacterial effect may justify the traditional use of G. robertianum to treat hard-to-heal wounds.",0,0,Pharmacology & Pharmacy
